month,combined,sentiment_only,value_only
2023-08,-0.04036509886364159,-0.0434113564813835,-0.024788568839129388
2023-09,-0.04979205881813098,-0.06571283236980208,-0.01643713004710423
2023-10,-0.02486944321944984,-0.03981997245301283,-0.06761998670540026
2023-11,0.10328804762499133,0.09766276440979405,0.08824582721848517
2023-12,0.07785160496693622,0.05519195202882865,0.06436217965759083
2024-01,-0.024174066060177912,0.0159198920442567,0.005980916870139241
2024-02,-0.010745107167029921,0.05690866515542847,0.029582419957684403
2024-03,0.11126385125935201,0.05094172649766593,0.09394071882688904
2024-04,-0.0755637904158093,-0.05252800564832283,-0.058509755908164096
2024-05,0.028067808846248488,0.01598410103453185,0.037696176773143186
2024-06,-0.006540014293755725,-0.0005680424560436936,-0.03852221348483298
2024-07,0.045323463095851224,-0.01808616194706225,0.04891984254644166
2024-08,0.03574373703565148,0.029646430904974208,0.017490117618682577
2024-09,-0.013921493755889802,0.001815718561064772,0.014607149849363399
2024-10,-0.002940873535279498,-0.03970996469682242,0.004644049303466735
2024-11,0.08632457973118401,0.059702047199358343,0.05393839860630911
2024-12,-0.029189279117811995,-0.06387863995163867,-0.038869896907162804
2025-01,0.011164740425690267,0.042879471068912656,0.03778053733015585
2025-02,0.02587318527275584,-0.02209865440774461,0.023704117376592393
2025-03,-0.03331357409005109,-0.055940113419756576,-0.04085833474495393
2025-04,-0.07726628008294711,0.009552770694654322,-0.030529033379954718
2025-05,0.012095130420930023,0.04594941078214965,0.04212551833486966
2025-06,0.04994690531405843,0.05368330064593718,0.002610855606628437
2025-07,-0.020669970411873684,-0.03784447858770845,0.018701447619672296
2025-08,0.07636481945845786,0.036866352405100944,0.0007351994462987399
2025-09,0.07452217099250769,0.009786045416002365,-0.006104332543095503
2025-10,0.08964186164983823,0.06526519453232504,0.010894777601337724
2025-11,0.06035763945582251,0.04766481207723716,0.07070000157208534
2025-12,0.011318401496414499,-0.002488671288595423,0.022003772848826264
