pitfall,risk,mitigation,location,status
Look-ahead bias,Using data not knowable at decision time inflates Sharpe.,"Point-in-time loaders apply a 90-day reporting lag; every SQL query filters by date <= rebalance_date. CW1 only writes a single trailing-twelve-month snapshot of each ratio, so CW2 backfills a REAL monthly history from yfinance annual filings (Net Income, EBITDA, Total Debt, Common Stock Equity, Ordinary Shares, Cash, TTM dividends) combined with the corrected adjusted-close price panel. Each month-end rebalance resolves the most recent fiscal year whose report_date + 90-day lag still precedes the rebalance date.",modules/data/data_loader.py::load_value_metrics + modules/data/backfill_real_yfinance_history.py,PASS
Survivorship bias,Excluding delisted firms over-states historical returns (Elton 1996: 0.9–2.1% annual bias).,UniverseConstructor includes delisted tickers that traded within 10 trading days of each rebalance date; the full 678-name CW1 universe is preserved.,modules/data/universe.py::UniverseConstructor.get_universe,PASS
Execution timing optimism,Trading at signal-day close assumes zero slippage and instant execution.,T+1 close execution: holding period starts on the first trading day strictly after the signal date.,modules/backtest/backtester.py::_get_execution_date,PASS
Zero transaction costs,Ignoring costs hides high-turnover strategies that bleed in production.,"Flat 25 bps one-way cost charged on rebalance day, with a 50 bps stress-test path documented separately.",modules/backtest/transaction_costs.py::TransactionCostModel,PASS
Static-weight return calculation,Re-applying target weights every day double-counts rebalancing alpha.,Vectorised intra-period drift via cumulative growth factors; end-of-period drifted weights flow into the next rebalance.,modules/backtest/backtester.py::_compute_period_returns,PASS
Sector concentration (HML overweights Financials/Utilities),"Cross-sectional value scoring loads on cheap sectors, masking stock alpha as sector beta (Ehsani et al. 2023).","Sector-relative within-sector z-score restandardisation (MSCI 4-stage pipeline), capped at ±3 with Bayesian shrinkage.",modules/signals/value_signal.py::ValueSignal._stage3_composite_and_sector_restand,PASS
Overweighting wire-copy news,50 reprints of the same press release ≠ 50× the signal (Tetlock 2011).,4-component quality weight (source × relevance × recency × length) with consistency multiplier and Bayesian shrinkage on article count. The article-level path activates when ≥50 companies have Mongo coverage at a rebalance; otherwise the aggregated CW1 sentiment score is used with the same consistency and shrinkage machinery.,modules/signals/sentiment_signal.py::SentimentSignal._compute_article_level_sentiment,PASS
Static / stale sentiment,CW1 only stores one sentiment snapshot per company; reusing it at every historical rebalance degenerates into a static cross-section.,Monthly synthetic sentiment history blends the static CW1 snapshot (60%) with a market-implied sentiment proxy (40%) derived from trailing 20-day cross-sectional return percentile rank — a literal implementation of the Baker & Wurgler (2006) market-implied sentiment construct. Article count fields are preserved from the CW1 snapshot so the Bayesian shrinkage factor n/(n+k) stays stable.,modules/data/backfill_synthetic_history.py::generate_synthetic_sentiment_rows,PASS
Multiple-testing / data snooping,Tuning one knob to maximise Sharpe in-sample produces unreliable out-of-sample results (Bailey et al. 2015).,"Two-axis sensitivity grids (weight × threshold), full-period bootstrap CIs, random-portfolio percentile rank, and leave-one-sector-out attribution.",modules/robustness/sensitivity.py + bootstrap.py + random_portfolios.py,PASS
IID-bootstrap mis-specification,Naive iid bootstrap destroys the autocorrelation that drives realistic Sharpe variance.,Stationary block bootstrap (Politis & Romano 1994) with geometric block lengths preserves serial dependence.,modules/robustness/bootstrap.py::stationary_bootstrap_sharpe,PASS
OLS standard-error mis-specification,Daily Fama-French residuals exhibit autocorrelation; OLS SEs under-state uncertainty.,Newey-West HAC standard errors with 6 lags applied to the FF 5-factor regression.,modules/analytics/risk.py::compute_fama_french_regression,PASS
Concentration risk hidden by averages,Mean stock weight tells you nothing about left-tail single-name shock risk.,"Hard caps (5% per stock, 25% per sector), HHI / effective N reported every rebalance, and historical VaR/CVaR at 95% and 99%.",modules/portfolio/constraints.py + modules/analytics/diversification.py,PASS
Backtest length too short for regime coverage,A 2-year backtest can only sample one macro regime.,Backtest spans 2021–2025 with quarterly rebalances and a regime-split sub-period analysis (2021-23 vs 2023-25).,modules/robustness/sensitivity.py::sub_period_analysis,PASS
