excluded_sector,sharpe_ratio,annualised_return,sharpe_change
None (Baseline),0.9028886861269535,0.1978005880895395,0.0
Communication Services,0.5332135297170212,0.12876713340916712,-0.3696751564099323
Consumer Discretionary,0.7682697520540588,0.16251670223975712,-0.1346189340728947
Consumer Staples,1.0560642726261147,0.23721412061575786,0.1531755864991612
Energy,0.9238192257080238,0.203818251748354,0.020930539581070273
Financials,0.7486287507281448,0.16460953504573017,-0.15425993539880867
Health Care,1.076266322353852,0.2473590913660606,0.1733776362268985
Industrials,0.9436963977320779,0.20180277006889957,0.04080771160512442
Information Technology,0.46412831504825597,0.10843847924931671,-0.43876037107869753
Materials,0.9439103161276188,0.20646518960611582,0.04102163000066528
Real Estate,0.8706009747690368,0.19303944250201632,-0.03228771135791675
Technology,0.9028886861269535,0.1978005880895395,0.0
Utilities,0.8993193064212924,0.19829541481823765,-0.0035693797056610688
