from_date,to_date,q1_size_from,q1_size_to,exits,entries,stays,turnover_rate
2015-12-31,2016-03-31,81,82,22,23,59,27.6
2016-03-31,2016-06-30,82,83,18,19,64,22.4
2016-06-30,2016-09-30,83,83,18,18,65,21.7
2016-09-30,2016-12-31,83,87,40,44,43,49.4
2016-12-31,2017-03-31,87,89,18,20,69,21.6
2017-03-31,2017-06-30,89,89,14,14,75,15.7
2017-06-30,2017-09-30,89,89,15,15,74,16.9
2017-09-30,2017-12-31,89,90,34,35,55,38.5
2017-12-31,2018-03-31,90,89,19,18,71,20.7
2018-03-31,2018-06-30,89,92,22,25,67,26.0
2018-06-30,2018-09-30,92,92,17,17,75,18.5
2018-09-30,2018-12-31,92,88,36,32,56,37.8
2018-12-31,2019-03-31,88,87,18,17,70,20.0
2019-03-31,2019-06-30,87,88,20,21,67,23.4
2019-06-30,2019-09-30,88,87,20,19,68,22.3
2019-09-30,2019-12-31,87,87,35,35,52,40.2
2019-12-31,2020-03-31,87,88,15,16,72,17.7
2020-03-31,2020-06-30,88,88,22,22,66,25.0
2020-06-30,2020-09-30,88,88,17,17,71,19.3
2020-09-30,2020-12-31,88,76,33,21,55,32.9
2020-12-31,2021-03-31,76,77,20,21,56,26.8
2021-03-31,2021-06-30,77,78,19,20,58,25.2
2021-06-30,2021-09-30,78,78,16,16,62,20.5
2021-09-30,2021-12-31,78,105,36,63,42,54.1
2021-12-31,2022-03-31,105,108,21,24,84,21.1
2022-03-31,2022-06-30,108,108,23,23,85,21.3
2022-06-30,2022-09-30,108,108,19,19,89,17.6
2022-09-30,2022-12-31,108,111,47,50,61,44.3
2022-12-31,2023-03-31,111,111,42,42,69,37.8
2023-03-31,2023-06-30,111,111,47,47,64,42.3
2023-06-30,2023-09-30,111,111,40,40,71,36.0
2023-09-30,2023-12-31,111,124,36,49,75,36.2
2023-12-31,2024-03-31,124,124,34,34,90,27.4
2024-03-31,2024-06-30,124,124,46,46,78,37.1
2024-06-30,2024-09-30,124,124,36,36,88,29.0
2024-09-30,2024-12-31,124,124,44,44,80,35.5
2024-12-31,2025-03-31,124,124,39,39,85,31.5
2025-03-31,2025-06-30,124,124,41,41,83,33.1
2025-06-30,2025-09-30,124,125,44,45,80,35.7
